fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.18,0.398,0.198,2.01,0.012,16.0,13.3,1.00082,3.414,0.666,8.89,6
8.08,0.495,0.356,1.2,0.1961,7.8,60.7,0.99639,3.075,0.621,9.27,5
9.45,0.774,0.307,1.48,0.1154,16.9,67.9,0.99657,3.22,0.564,11.68,6
10.97,0.412,0.354,8.42,0.0443,1.0,30.9,0.99655,3.504,0.448,10.64,5
7.91,0.385,0.314,1.2,0.0852,18.2,6.0,0.99965,3.356,0.554,11.84,6
7.91,0.442,0.52,1.2,0.1228,29.4,91.9,0.99363,3.363,0.797,10.81,5
11.07,0.357,0.085,1.2,0.1258,1.0,47.6,0.99659,3.348,0.674,10.97,5
9.66,0.55,0.139,1.53,0.0341,11.6,110.3,0.99362,3.271,0.773,10.09,4
7.5,0.819,0.12,3.56,0.0356,6.7,49.5,0.99218,3.305,0.453,10.21,5
9.26,0.586,0.433,1.2,0.071,1.0,51.8,0.9953,3.249,0.904,11.45,6
7.51,0.483,0.447,3.09,0.1121,1.0,14.7,0.99748,3.443,0.562,10.27,5
7.51,0.476,0.359,1.2,0.1181,3.5,32.5,0.99518,3.25,0.739,11.69,5
8.74,0.248,0.502,1.36,0.0936,13.3,6.0,0.99745,3.294,0.637,10.3,6
4.99,0.686,0.041,3.74,0.0478,27.9,6.0,0.9969,3.424,0.566,9.16,5
5.32,0.514,0.596,1.2,0.1686,1.0,70.9,0.99644,3.261,0.732,9.06,4
7.34,0.496,0.568,2.07,0.0366,18.9,37.2,0.9991,3.3,0.76,10.24,8
6.56,1.1,0.414,1.2,0.1482,18.2,32.6,0.99557,3.256,1.115,11.4,4
8.87,0.581,0.618,3.39,0.1217,33.4,22.1,0.99742,3.297,0.767,9.71,5
6.74,0.393,0.0,1.2,0.1472,21.8,33.8,0.99327,3.261,0.764,11.2,6
5.86,0.452,0.169,4.79,0.0661,22.4,83.7,0.99689,3.228,0.853,10.53,6
10.87,0.734,0.128,1.2,0.0803,23.2,51.2,0.99621,3.202,0.748,11.07,6
7.93,0.548,0.412,5.19,0.0896,6.2,7.6,0.99445,3.284,0.651,10.11,5
8.44,0.271,0.066,1.2,0.0646,9.9,80.4,0.99746,3.468,0.713,10.62,5
5.84,0.693,0.419,3.21,0.0976,27.6,103.2,0.9953,3.407,0.803,11.42,4
7.37,0.408,0.538,1.2,0.1612,1.0,62.7,0.99999,3.068,0.894,10.4,5
